"consumption_data","emission_factor","emission_factor_unit","emission_tCO2e","comment","starting_year","organisation_id","emission_type_id","emission_type","emission_source_id","emission_source","scope_id","scope","consumption_data_unit_id","consumption_data_unit"
54909665.0,0.18253999999999998,"kg CO2e/kWh",10023.2102491,"Natural Gas ",2022,3999111,8137,"Fuels",91274938.0,"Natural gas",4311.0,"Scope 1",681539.0,"kWh"
122979.0,2.75857,"kg CO2e/litres",339.24618003000006,"Gas Oil A2 class",2022,3999111,8137,"Fuels",91274934.0,"Gas oil",4311.0,"Scope 1",681541.0,"litres"
3187.0,2.54013,"kg CO2e/litres",8.09539431,"Kerosene",2022,3999111,8137,"Fuels",91274929.0,"Burning oil (Kerosene)",4311.0,"Scope 1",681541.0,"litres"
280256.0,0.22836,"kg CO2e/miles",63.999260160000006,"Fleet - Small Commercial - Van Class 1 ",2022,3999111,8143,"Transport - van/HGV",91275154.0,"Vans - Class I (up to 1.305 tonnes) - Diesel",4311.0,"Scope 1",681543.0,"miles"
1389358.0,0.37268,"kg CO2e/miles",517.78593944,"Fleet - Large Commercial - Van average",2022,3999111,8143,"Transport - van/HGV",91275151.0,"Vans - Average (up to 3.5 tonnes) - Diesel",4311.0,"Scope 1",681543.0,"miles"
37989.0,1.43329,"kg CO2e/miles",54.449253809999995,"Fleet - HGV",2022,3999111,8143,"Transport - van/HGV",91275146.0,"HGV (all diesel) - All Heavy Goods Vehicles - Average laden",4311.0,"Scope 1",681543.0,"miles"
3863.0,1.35282,"kg CO2e/miles",5.2259436599999995,"Fleet - Busses ",2022,3999111,8143,"Transport - van/HGV",91275147.0,"HGV (all diesel) - All Rigids - Average laden",4311.0,"Scope 1",681543.0,"miles"
2171642.0,0.2358,"kg CO2e/miles",512.0731836,"Fleet - Pool cars - Small - Petrol ",2022,3999111,8141,"Transport - car",91275106.0,"Small car - Petrol",4311.0,"Scope 1",681543.0,"miles"
17805024.0,0.01053,"kg CO2e/kWh",187.48690272,"Biomass - Wood Pellets ",2022,3999111,8144,"Bioenergy",91274924.0,"Wood pellets",4311.0,"Scope 1",681539.0,"kWh"
542470.0,0.01053,"kg CO2e/kWh",5.7122091,"Biomass - Wood chips",2022,3999111,8144,"Bioenergy",91274923.0,"Wood chips",4311.0,"Scope 1",681539.0,"kWh"
4.354,1430.0,"kg CO2e/kg",6.2262200000000005,"F Gas - R134a",2022,3999111,8139,"Refrigerants",91275024.0,"HFC-134a",4311.0,"Scope 1",681537.0,"kg"
1.98,3922.0,"kg CO2e/kg",7.76556,"F-Gas - R404a",2022,3999111,8139,"Refrigerants",91275026.0,"R404A",4311.0,"Scope 1",681537.0,"kg"
27.8,2088.0,"kg CO2e/kg",58.0464,"F-Gas - R410a",2022,3999111,8139,"Refrigerants",91275028.0,"R410A",4311.0,"Scope 1",681537.0,"kg"
0.018,3.0,"kg CO2e/kg",5.399999999999999e-05,"F-Gas - R600a",2022,3999111,8139,"Refrigerants",91275072.0,"R600A = Isobutane",4311.0,"Scope 1",681537.0,"kg"
26415548.0,0.19338,"kg CO2e/kWh",5108.238672240001,"Grid Electricity ",2022,3999111,8136,"Electricity",91274925.0,"Electricity: UK",4312.0,"Scope 2",681539.0,"kWh"
17622.0,0.19338,"kg CO2e/kWh",3.40774236,"EV Fleet ",2022,3999111,8136,"Electricity",91274925.0,"Electricity: UK",4312.0,"Scope 2",681539.0,"kWh"
317999.0,0.1,"kg CO2e/cubic metres",31.7999,"Water - Supply ",2022,3999111,8138,"Water",91275273.0,"Water supply",4313.0,"Scope 3",681535.0,"cubic metres"
26415548.0,0.01769,"kg CO2e/kWh",467.29104412000004,"Electricity - T&D losses",2022,3999111,8136,"Electricity",91274926.0,"Transmission and distribution - Electricity: UK",4313.0,"Scope 3",681539.0,"kWh"
317999.0,0.19,"kg CO2e/cubic metres",60.41981,"Water - Waste Treatment",2022,3999111,8138,"Water",91275274.0,"Water treatment",4313.0,"Scope 3",681535.0,"cubic metres"
1858684.0,0.17082414,"kg CO2e/km",317.50809583176004,"Business Travel - diesel ",2022,3999111,8141,"Transport - car",91275079.0,"Average car - Diesel",4313.0,"Scope 3",681538.0,"km"
3614393.0,0.17048,"kg CO2e/km",616.18171864,"Business Travel - petrol ",2022,3999111,8141,"Transport - car",91275081.0,"Average car - Petrol",4313.0,"Scope 3",681538.0,"km"
67597.0,0.12004000000000001,"kg CO2e/km",8.11434388,"Business Travel - Hybrid ",2022,3999111,8141,"Transport - car",91275080.0,"Average car - Hybrid",4313.0,"Scope 3",681538.0,"km"
231945.0,0.05140000000000001,"kg CO2e/km",11.921973000000001,"Business Travel - Electric ",2022,3999111,8141,"Transport - car",91275077.0,"Average business travel car - Battery Electric Vehicle",4313.0,"Scope 3",681538.0,"km"
286296.0,0.17067,"kg CO2e/km",48.86213832,"Business Travel - Unknown ",2022,3999111,8141,"Transport - car",91275082.0,"Average car - Unknown",4313.0,"Scope 3",681538.0,"km"
408202.0,0.20826,"kg CO2e/km",85.01214852,"Business Travel - Taxi's ",2022,3999111,8142,"Transport - public",91275136.0,"Regular taxi",4313.0,"Scope 3",681538.0,"km"
1054.73,0.20826,"kg CO2e/km",0.2196580698,"Business Travel - Taxi's expenses",2022,3999111,8142,"Transport - public",91275136.0,"Regular taxi",4313.0,"Scope 3",681538.0,"km"
132195.0,0.15102000000000002,"kg CO2e/passenger.km",19.964088900000004,"Business Travel - Planes (corporate) ",2022,3999111,8142,"Transport - public",91275129.0,"Flights - Short-haul, to/from UK - Economy class",4313.0,"Scope 3",681545.0,"passenger.km"
