"consumption_data","consumption_data_unit","consumption_data_unit_id","emission_factor","emission_factor_unit","emission_tCO2e","starting_year","organisation_id","emission_type_id","emission_type","emission_source_id","emission_source","scope_id","scope","comment"
7859979.0,"kWh",681539,0.19338,"kg CO2e/kWh",1519.96273902,2022,3999112,8136,"Electricity",91274925,"Electricity: UK",4312,"Scope 2",""
24434780.0,"kWh",681539,0.18253999999999998,"kg CO2e/kWh",4460.324741199999,2022,3999112,8137,"Fuels",91274938,"Natural gas",4311,"Scope 1",""
1438627.0,"kWh",681539,0.01053,"kg CO2e/kWh",15.14874231,2022,3999112,8144,"Bioenergy",91274924,"Wood pellets",4311,"Scope 1",""
104775.0,"cubic metres",681535,0.1,"kg CO2e/cubic metres",10.4775,2022,3999112,8138,"Water",91275273,"Water supply",4313,"Scope 3","The emission factor differs from DEFRA - (DEFRA is 0.149 for 2022)"
41544.0,"cubic metres",681535,0.19,"kg CO2e/cubic metres",7.8933599999999995,2022,3999112,8138,"Water",91275274,"Water treatment",4313,"Scope 3","The emission factor differs from DEFRA - (DEFRA is 0.272 for 2022)"
0.0,"kg",681537,2540.0,"kg CO2e/kg",0,2022,3999112,8150,"Process",91275020,"Desflurane",4313,"Scope 3","No emissions removed from our process"
79.1,"kg",681537,130.0,"kg CO2e/kg",10.283,2022,3999112,8150,"Process",91275021,"Sevoflurane",4311,"Scope 1",""
5.25,"kg",681537,510.0,"kg CO2e/kg",2.6775,2022,3999112,8150,"Process",91275022,"Isoflurane ",4311,"Scope 1",""
1754.0,"kg",681537,298.0,"kg CO2e/kg",522.692,2022,3999112,8150,"Process",91275023,"Anaesthetic Nitrous Oxide ",4311,"Scope 1",""
360.9,"tonnes",681547,273.0,"kg CO2e/tonnes",98.5257,2022,3999112,8140,"Waste",91275172,"Clinical Waste - Orange Stream",4313,"Scope 3",""
53.9,"tonnes",681547,297.0,"kg CO2e/tonnes",16.0083,2022,3999112,8140,"Waste",91275175,"Clinical Waste - Yellow Stream",4313,"Scope 3",""
15.5,"tonnes",681547,8.910581395348837,"kg CO2e/tonnes",0.13811401162790696,2022,3999112,8140,"Waste",91275206,"Organic: food and drink waste - Anaerobic digestion",4313,"Scope 3",""
27.2,"tonnes",681547,8.910581395348837,"kg CO2e/tonnes",0.24236781395348836,2022,3999112,8140,"Waste",91275212,"Organic: garden waste - Composting",4313,"Scope 3",""
