"consumption_data","consumption_data_unit_id","emission_factor","emission_factor_unit","emission_tCO2e","starting_year","organisation_id","emission_type_id","emission_source_id","scope_id","comment"
63718617.0,681539.0,0.18316,"kg CO2e/kWh",11670.701889719998,2021,3999111,8137,91274938.0,4311,"Natural Gas"
989315.0,681539.0,0.25679,"kg CO2e/kWh",254.04619885,2021,3999111,8137,"",4311,"Gas oil  "
43084.0,681539.0,0.24677,"kg CO2e/kWh",10.63183868,2021,3999111,8137,"",4311,"Kerosine Burning Oil"
277773.0,681538.0,0.1467,"kgCO2e/km",40.7492991,2021,3999111,8151,"",4311,"Small commercial vehicle "
1329452.0,681538.0,0.24116,"kgCO2e/km",320.61064432,2021,3999111,8151,"",4311,"Large commercial vehicle "
37071.0,681538.0,0.78968,"kgCO2e/km",29.27422728,2021,3999111,8151,"",4311,"HGV"
5236.0,"",0.11774,"kg CO2e/passenger km",0.6164866400000001,2021,3999111,8151,"",4311,"Busses"
2144160.0,681538.0,0.14946,"kg CO2e/km",320.46615360000004,2021,3999111,8151,"",4311,"Pool cars "
9469440.0,681539.0,0.01513,"kg CO2e/kWh",143.2726272,2021,3999111,8151,"",4311,"Biomass woodpellet"
618585.0,681539.0,0.01513,"kg CO2e/kWh",9.35919105,2021,3999111,8151,"",4311,"Biomass woodchip "
0.23,681537.0,1430.0,"kg CO2e",0.3289,2021,3999111,8151,"",4311,"F-Gas - R123a "
1.78,681537.0,3922.0,"kg CO2e",6.98116,2021,3999111,8151,"",4311,"F-Gas - R404a"
0.8,681537.0,2088.0,"kg CO2e",1.6704,2021,3999111,8151,"",4311,"F-Gas - R410a"
26503005.0,681539.0,0.21233,"kg CO2e/kWh",5627.383051650001,2021,3999111,8136,"",4312,"Grid Electricity "
26503005.0,681539.0,0.0187899999999999,"kg CO2e/kWh",497.99146395,2021,3999111,8136,"",4313,"Grid Losses - Electricity "
306458.0,"",0.11,"kg CO2e/m3",33.71038,2021,3999111,8138,"",4313,"Water - Supply "
306458.0,"",0.23,"kg CO2e/m3",70.48534,2021,3999111,8138,"",4313,"Water - treatment "
1679667.0,681538.0,0.16843,"kg CO2e/km",282.90631281,2021,3999111,8151,"",4313,"Business Travel - desiel small engine unknown size"
2970106.0,681538.0,0.17431,"kg CO2e/ km",517.7191768600001,2021,3999111,8151,"",4313,"Business Travel - Petrol average size "
117046.0,681538.0,0.11952,"kg CO2e/km",13.98933792,2021,3999111,8151,"",4313,"Business Travel - Hybrid Car "
23915.0,681538.0,0.05477,"kg CO2e/km",1.30982455,2021,3999111,8151,"",4313,"Business Travel - Electric Car average "
1770455.85542,681538.0,0.17148,"kg CO2e/km",303.5977700874216,2021,3999111,8151,"",4313,"Business Travel - Car unknown fuel "
356196.0,"",0.14876,"kg CO2e/passenger km",52.98771696,2021,3999111,8151,"",4313,"Taxi contract for Business Travel "
454.0,"",0.14876,"kg CO2e/passenger km",0.06753704,2021,3999111,8151,"",4313,"Taxi's - staff expense "
16541.0,"",0.15102,"kg CO2e/passenger km",2.4980218200000004,2021,3999111,8151,"",4313,"Planes - Domestic short haul "
11888.0,"",0.15102,"kg CO2e/passenger km",1.79532576,2021,3999111,8151,"",4313,"Planes - Domestic - staff Expenses "
10361.0,"",0.03549,"kg CO2e/passenger km",0.36771189,2021,3999111,8151,"",4313,"Trains - corporate travel account"
19787.0,"",0.03549,"kg CO2e/passenger km",0.70224063,2021,3999111,8151,"",4313,"Trains - Staff Expenses "
15992.0,"",0.11774,"kg CO2e/passenger km",1.88289808,2021,3999111,8151,"",4313,"Busses - Patient travel vouchers"
14447.0,"",0.11774,"kg CO2e/passenger km",1.70098978,2021,3999111,8151,"",4313,"Busses - staff expenses "
5205.0,"",0.129517,"kg CO2e/passenger km",0.674135985,2021,3999111,8151,"",4313,"Ferry - staff expenses "
3.1,681547.0,8.950697674418604,"kgCO2e/tonne",0.0277471627906976,2021,3999111,8140,"",4313,"Waste - Food"
279.18,681547.0,21.293565891472863,"kgCO2e/tonne",5.944737725581396,2021,3999111,8140,"",4313,"Waste - Paper and Card"
34.3,681547.0,21.293565891472863,"kg CO2e/tonne",0.7303693100775193,2021,3999111,8140,"",4313,"Waste - Dry Mix Recycling"
1090.73,681547.0,273.0,"kg CO2e/tonne",297.76929,2021,3999111,8140,91275172.0,4313,"Waste - Orange Clinical "
182.1,681547.0,297.0,"kg CO2e/tonne",54.0837,2021,3999111,8140,91275175.0,4313,"Waste - Yellow Clinical"
2.66,681547.0,1000.0,"kg CO2e/tonne",2.66,2021,3999111,8140,91275174.0,4313,"Waste - Red Clinical "
10.7,681547.0,21.293565891472863,"kgCO2e/tonne",0.2278411550387596,2021,3999111,8140,"",4313,"Waste - Glass reycling "
1042.3,681547.0,21.293565891472863,"kgCO2e/tonne",22.19428372868217,2021,3999111,8140,"",4313,"Waste - Refuse to combustion "
10.1,681547.0,8.950697674418604,"kgCO2e/tonne",0.0904020465116279,2021,3999111,8140,"",4313,"Waste - Garden "
5.6,681547.0,21.293565891472863,"kgCO2e/tonne",0.119243968992248,2021,3999111,8140,"",4313,"Waste - scrap metal "
0.036,"",0.3,"tCO2e/FTE/annum",103.18536,2021,3999111,8151,"",4313,"Home Working "
3.74,"",510.0,"tonnes CO2e",1.9074,2021,3999111,8151,91275275.0,4311,"Isoflurane "
305.9,"",130.0,"tonnes CO2e",39.767,2021,3999111,8151,91275275.0,4311,"Sevoflurane"
16.074,"",2540.0,"tonnes CO2e",40.82796,2021,3999111,8151,91275275.0,4311,"Desflurane"
2586.39593908629,"",298.0,"tonnes CO2e",770.7459898477144,2021,3999111,8151,91275275.0,4311,"Anaesthetic Nitrous Oxide "
372.62,"",298.0,"tonnes CO2e",111.04076,2021,3999111,8151,91275275.0,4311,"Portable Entonox "
2177.66,"",298.0,"tonnes CO2e",648.9426799999999,2021,3999111,8151,91275275.0,4311,"Maternity Manifold Entonox "
1.0,681537.0,1397.0,"kg CO2e",1.397,2021,3999111,8151,91275275.0,4311,"F-Gas - R449a"
1770.2,"",3220.0,"tonnes CO2e",5547.0,2021,3999111,8151,91275275.0,4313,"Inhalers - Primary Care "
41.92,"",3220.0,"tonnes CO2e",133.7,2021,3999111,8151,91275275.0,4313,"Inhalers - Secondary Care"
42.7,681547.0,0.989,"kg/CO2e per tonnes ",0.0422303,2021,3999111,8151,91275275.0,4313,"Waste - construction "
8097720.0,681539.0,0.21233,"kg CO2e/kWh",1719.3888876000003,2021,3999112,8136,"",4312,"Source: eSight Energy Management System"
8097720.0,681539.0,0.0187899999999999,"kg CO2e/kWh",152.1561588,2021,3999112,8136,"",4312,"Source: eSight Energy Management System"
24011894.0,681539.0,0.18316,"kg CO2e/kWh",4398.0185050400005,2021,3999112,8137,91274938.0,4311,"Source: eSight Energy Management System"
1581780.0,681539.0,0.01513,"kg CO2e/kWh",23.9323314,2021,3999112,8137,"",4311,"Source: eSight Energy Management System"
87991.0,"",0.11,"kg CO2e/m3",9.67901,2021,3999112,8138,"",4312,"Source: eSight Energy Management System"
87991.0,"",0.23,"kg CO2e/m3",20.23793,2021,3999112,8138,"",4312,"Source: eSight Energy Management System"
295.0,681547.0,21.293565891472863,"kgCO2e/tonne",6.281601937984496,2021,3999112,8140,"",4313,"Source: Scottish Borders Council Refuse Report"
0.0,681547.0,1000.0,"kg CO2e/tonne",0.0,2021,3999112,8140,91275174.0,4313,"Source: Tradebe National Clinical Waste Provider"
367.2,681547.0,273.0,"kg CO2e/tonne",100.2456,2021,3999112,8140,91275172.0,4313,"Source: Tradebe National Clinical Waste Provider"
15.3,681547.0,297.0,"kg CO2e/tonne",4.5441,2021,3999112,8140,91275175.0,4313,"Source: Tradebe National Clinical Waste Provider"
190.0,681547.0,21.293565891472863,"kg CO2e/tonne",4.045777519379845,2021,3999112,8140,"",4313,"Source: Scottish Borders Council Refuse Report"
0.21,"",0.3,"tCO2e/FTE/annum",177.912,2021,3999112,8151,"",4313,"Estimated based on head count"
54909665.0,681539.0,0.1825399999999999,"kg CO2e/kWh",10023.2102491,2022,3999111,8137,91274938.0,4311,"Natural Gas "
122979.0,681541.0,2.75857,"kg CO2e/litres",339.24618003000006,2022,3999111,8137,91274934.0,4311,"Gas Oil A2 class"
3187.0,681541.0,2.54013,"kg CO2e/litres",8.09539431,2022,3999111,8137,91274929.0,4311,"Kerosene"
280256.0,681543.0,0.22836,"kg CO2e/miles",63.999260160000006,2022,3999111,8143,91275154.0,4311,"Fleet - Small Commercial - Van Class 1 "
1389358.0,681543.0,0.37268,"kg CO2e/miles",517.78593944,2022,3999111,8143,91275151.0,4311,"Fleet - Large Commercial - Van average"
37989.0,681543.0,1.43329,"kg CO2e/miles",54.44925381,2022,3999111,8143,91275146.0,4311,"Fleet - HGV"
3863.0,681543.0,1.35282,"kg CO2e/miles",5.22594366,2022,3999111,8143,91275147.0,4311,"Fleet - Busses "
2171642.0,681543.0,0.2358,"kg CO2e/miles",512.0731836,2022,3999111,8141,91275106.0,4311,"Fleet - Pool cars - Small - Petrol "
17805024.0,681539.0,0.01053,"kg CO2e/kWh",187.48690272,2022,3999111,8144,91274924.0,4311,"Biomass - Wood Pellets "
542470.0,681539.0,0.01053,"kg CO2e/kWh",5.7122091,2022,3999111,8144,91274923.0,4311,"Biomass - Wood chips"
4.354,681537.0,1430.0,"kg CO2e/kg",6.2262200000000005,2022,3999111,8139,91275024.0,4311,"F Gas - R134a"
1.98,681537.0,3922.0,"kg CO2e/kg",7.76556,2022,3999111,8139,91275026.0,4311,"F-Gas - R404a"
27.8,681537.0,2088.0,"kg CO2e/kg",58.0464,2022,3999111,8139,91275028.0,4311,"F-Gas - R410a"
0.018,681537.0,3.0,"kg CO2e/kg",5.399999999999999e-05,2022,3999111,8139,91275072.0,4311,"F-Gas - R600a"
26415548.0,681539.0,0.19338,"kg CO2e/kWh",5108.238672240001,2022,3999111,8136,91274925.0,4312,"Grid Electricity "
17622.0,681539.0,0.19338,"kg CO2e/kWh",3.40774236,2022,3999111,8136,91274925.0,4312,"EV Fleet "
317999.0,681535.0,0.1,"kg CO2e/cubic metres",31.7999,2022,3999111,8138,91275273.0,4313,"Water - Supply "
26415548.0,681539.0,0.01769,"kg CO2e/kWh",467.29104412,2022,3999111,8136,91274926.0,4313,"Electricity - T&D losses"
317999.0,681535.0,0.19,"kg CO2e/cubic metres",60.41981,2022,3999111,8138,91275274.0,4313,"Water - Waste Treatment"
1858684.0,681538.0,0.17082414,"kg CO2e/km",317.50809583176004,2022,3999111,8141,91275079.0,4313,"Business Travel - diesel "
3614393.0,681538.0,0.17048,"kg CO2e/km",616.18171864,2022,3999111,8141,91275081.0,4313,"Business Travel - petrol "
67597.0,681538.0,0.12004,"kg CO2e/km",8.11434388,2022,3999111,8141,91275080.0,4313,"Business Travel - Hybrid "
231945.0,681538.0,0.0514,"kg CO2e/km",11.921973,2022,3999111,8141,91275077.0,4313,"Business Travel - Electric "
286296.0,681538.0,0.17067,"kg CO2e/km",48.86213832,2022,3999111,8141,91275082.0,4313,"Business Travel - Unknown "
408202.0,681538.0,0.20826,"kg CO2e/km",85.01214852,2022,3999111,8142,91275136.0,4313,"Business Travel - Taxi's "
1054.73,681538.0,0.20826,"kg CO2e/km",0.2196580698,2022,3999111,8142,91275136.0,4313,"Business Travel - Taxi's expenses"
132195.0,681545.0,0.15102,"kg CO2e/passenger.km",19.964088900000004,2022,3999111,8142,91275129.0,4313,"Business Travel - Planes (corporate) "
45314.0,681545.0,0.15102,"kg CO2e/passenger.km",6.843320280000001,2022,3999111,8142,91275129.0,4313,"Business Travel - Planes (expenses)"
38872.0,681545.0,0.03549,"kg CO2e/passenger.km",1.37956728,2022,3999111,8142,91275135.0,4313,"Business Travel - Trains (corporate) "
101729.0,681545.0,0.03549,"kg CO2e/passenger.km",3.61036221,2022,3999111,8142,91275135.0,4313,"Business Travel - Trains  "
14929.0,681545.0,0.0965,"kg CO2e/passenger.km",1.4406485,2022,3999111,8142,91275110.0,4313,"Business Travel - Bus (patient vouchers) "
13542.0,681545.0,0.0965,"kg CO2e/passenger.km",1.3068030000000002,2022,3999111,8142,91275110.0,4313,"Business Travel - Bus (expenses) "
6451.0,681545.0,0.112862,"kg CO2e/passenger.km",0.728072762,2022,3999111,8142,91275113.0,4313,"Business Travel - Ferry (expenses) "
49.31,681547.0,8.910581395348837,"kg CO2e/tonnes",0.4393807686046511,2022,3999111,8140,91275206.0,4313,"Waste - food and drink organic waste"
310.37,681547.0,21.28019379844961,"kg CO2e/tonnes",6.604733749224805,2022,3999111,8140,91275221.0,4313,"Waste - paper and cardboard recycling "
86.58,681547.0,21.28019379844961,"kg CO2e/tonnes",1.8424391790697672,2022,3999111,8140,91275221.0,4313,"Waste - Dry Mixed Recycling "
1252.34,681547.0,273.0,"kg CO2e/tonnes",341.88881999999995,2022,3999111,8140,91275172.0,4313,"Waste - Clinical - orange "
213.37,681547.0,297.0,"kg CO2e/tonnes",63.37089,2022,3999111,8140,91275175.0,4313,"Waste - Clinical - yellow"
0.2,681547.0,1000.0,"kg CO2e/tonnes",0.2,2022,3999111,8140,91275174.0,4313,"Waste - Clinical - red "
12.62,681547.0,21.28019379844961,"kg CO2e/tonnes",0.268556045736434,2022,3999111,8140,91275185.0,4313,"Waste - glass recycling "
1414.71,681547.0,21.28019379844961,"kg CO2e/tonnes",30.105302968604647,2022,3999111,8140,91275186.0,4313,"Waste - municiple waste to combustion "
6.92,681547.0,8.910581395348837,"kg CO2e/tonnes",0.0616612232558139,2022,3999111,8140,91275212.0,4313,"Waste - gardening to composting "
16.42,681547.0,21.28019379844961,"kg CO2e/tonnes",0.3494207821705426,2022,3999111,8140,91275198.0,4313,"Waste - scrap metal recyling "
8.0,681547.0,0.98470835,"kg CO2e/tonnes",0.0078776668,2022,3999111,8140,91275166.0,4313,"Waste - construction recycled "
0.03,681547.0,21.28019379844961,"kg CO2e/tonnes",0.0006384058139534,2022,3999111,8140,91275267.0,4313,"Waste - fluorescent tubes - lighting "
4.44,681547.0,21.28019379844961,"kg CO2e/tonnes",0.0944840604651162,2022,3999111,8140,91275179.0,4313,"Waste - mattresses - recycled "
0.23,681547.0,21.28019379844961,"kg CO2e/tonnes",0.0048944445736434,2022,3999111,8140,91275265.0,4313,"Waste - batteries - recycled "
0.0,681536.0,0.3407533148647296,"kg CO2e/FTE Working Hour",0.0,2022,3999111,8147,91274946.0,4313,"Home Working - FTE hours not availble to repot "
374.0,681546.0,11.5,"kg CO2e/Room per night",4.301,2022,3999111,8148,91274948.0,4313,"Hotel Stay"
70553.0,681539.0,0.19338,"kg CO2e/kWh",13.64353914,2022,3999111,8136,91274925.0,4313,"Leased Assets - Eletrical Consumption "
352949.0,681539.0,0.1825399999999999,"kg CO2e/kWh",64.42731045999999,2022,3999111,8137,91274938.0,4313,"Leased Assets - Heating Consumption "
42047.0,681545.0,0.112862,"kg CO2e/passenger.km",4.745508514,2022,3999111,8142,91275113.0,4313,"Ferry - procurement "
1.87,681542.0,510.0,"tonnes CO2e",0.9537,2022,3999111,8151,91275275.0,4311,"Isoflurane"
380.76,681542.0,130.0,"tonnes CO2e",49.4988,2022,3999111,8151,91275275.0,4311,"Sevoflurane"
14.3,681542.0,2540.0,"tonnes CO2e",36.4,2022,3999111,8151,91275275.0,4311,"Desflurane "
961.5,681542.0,298.0,"tonnes CO2e",286.527,2022,3999111,8151,91275275.0,4311,"Anaesthetic NO2"
318.74,681542.0,298.0,"tonnes CO2e",94.98452,2022,3999111,8151,91275275.0,4311,"Portable Entonox"
1786.8,681542.0,298.0,"tonnes CO2e",532.4664,2022,3999111,8151,91275275.0,4311,"Maternity Manifold Entonox "
0.264,681540.0,1397.0,"tonnes CO2e",0.3688079999999999,2022,3999111,8151,91275275.0,4311,"F-Gas - R449A"
